CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
330	16.4444	1.83115	0.0870296	0.496062	0.0572757	56.3543	140.172	-255.417	66.0192	132.597	-264.962
331	22.6392	1.48547	0.110421	-0.454005	0.0749243	41.1716	111.416	-203.627	39.6319	90.4172	-203.106
332	20.5027	1.42982	0.156514	-0.14566	0.0502516	41.1716	111.416	-203.627	42.3117	98.955	-188.642
333	6.14189	1.53405	0.0900827	-0.0105866	0.00958141	33.5668	143.853	-211.368	29.1091	140.063	-213.033
334	6.33021	1.53536	0.154398	-0.387262	0.0266493	33.5668	143.853	-211.368	30.5918	149.208	-212.073
335	20.664	1.52676	0.110225	0.192744	0.0247349	38.6864	106.652	-229.046	39.0655	86.9379	-224.823
336	15.8756	1.48425	0.133546	0.182204	0.0285065	38.6864	106.652	-229.046	38.8263	94.9754	-239.14
337	11.0604	1.64179	0.0965279	0.122945	0.0324585	61.9077	110.055	-212.243	60.7794	99.4875	-210.897
338	8.71355	1.52402	0.114594	-0.0121848	0.038725	61.9077	110.055	-212.243	66.8208	104.456	-208.386
339	11.7689	1.49717	0.112225	0.149742	0.058882	113.323	206.015	-227.303	123.974	206.499	-230.444
340	5.46224	1.51254	0.160531	-0.154728	0.0581307	113.323	206.015	-227.303	113.621	206.4	-232.443
341	11.4442	1.38852	0.184527	-0.685243	0.0614234	107.317	216.357	-216.855	109.513	223.663	-224.474
342	9.68919	1.30437	0.1054	-0.146421	0.020115	107.317	216.357	-216.855	107.084	224.074	-211.324
343	4.9525	1.3698	0.170027	0.0540713	0.0573923	111.872	179.162	-215.465	112.447	179.487	-210.828
344	7.09655	1.58199	0.128528	1.19554	0.0358741	111.872	179.162	-215.465	118.691	179.341	-216.093
345	42.417	1.57407	0.0944941	0.100767	0.032441	-69.4456	201.26	-198.681	-92.9491	232.583	-211.108
346	9.26893	1.70786	0.0684965	-0.58231	0.0202764	-69.4456	201.26	-198.681	-70.3998	209.766	-195.635
347	3.73872	1.4926	0.0589383	0	0.00626324	-89.3518	190.686	-204.884	-91.9311	193.276	-204.218
348	11.4567	1.53062	0.160586	0.290668	0.116185	-89.3518	190.686	-204.884	-99.542	189.756	-205.688
349	9.92843	1.51805	0.153402	1.06837	0.0231002	-91.6433	210.623	-224.927	-94.9455	219.736	-225.396
350	5.10414	1.54017	0.118304	0.119729	0.0613482	-91.6433	210.623	-224.927	-95.8759	211.135	-227.152
351	3.50768	1.36569	0.0429658	0	0.00625734	-64.2897	189.841	-227.126	-63.878	186.423	-227.672
352	4.33848	1.4698	0.106761	0.35366	0.00858087	-64.2897	189.841	-227.126	-63.4625	192.8	-230.137
353	44.931	1.59258	0.0946019	-0.0191192	0.0309202	-75.8162	203.378	-228.414	-106.813	231.805	-239.844
354	13.8714	1.6077	0.122758	-0.468915	0.0464494	-75.8162	203.378	-228.414	-80.19	212.152	-237.337
355	10.269	1.441	0.237976	-0.279004	0.0970488	-70.9939	201.049	-144.284	-71.2283	200.068	-134.978
356	14.2341	1.50606	0.0904115	-0.674593	0.0126002	-70.9939	201.049	-144.284	-71.1317	215.001	-142.575
357	20.4148	1.54615	0.106101	-0.0640192	0.0273131	-55.7879	202.76	-170.906	-72.0135	212.706	-165.188
358	16.2652	1.60124	0.0667654	0.276354	0.0218561	-55.7879	202.76	-170.906	-54.3088	218.378	-168.211
359	10.8329	1.53325	0.148381	0.101489	0.0662435	-50.0005	201.813	-164.174	-42.3866	208.213	-162.102
360	30.2635	1.56235	0.116191	-0.275636	0.0428953	-50.0005	201.813	-164.174	-41.6057	220.009	-143.185
361	20.2367	1.49124	0.153517	0.0996336	0.0331622	-58.5523	151.934	-153.262	-64.7523	154.789	-134.903
362	16.5901	1.50374	0.122199	0.478532	0.0231004	-58.5523	151.934	-153.262	-68.3131	141.76	-145.252
363	15.1247	1.47832	0.126067	-0.0613427	0.0430089	-52.7778	141.074	-148.067	-54.6714	127.053	-144.892
364	21.4999	1.49645	0.154173	0.0811336	0.0739496	-52.7778	141.074	-148.067	-47.7951	132.141	-130.859
365	9.90376	1.55406	0.0930539	-0.426429	0.00861717	-36.1427	183.599	-122.953	-36.3392	179.243	-114.156
366	18.3725	1.45996	0.0997603	-0.0440037	0.0229241	-36.1427	183.599	-122.953	-34.6643	201.283	-120.184
367	35.395	1.45547	0.156442	0.0510476	0.0751742	-38.7875	151.717	-146.988	-35.7589	122.857	-131.442
368	23.1101	1.47765	0.143722	-0.561064	0.039649	-38.7875	151.717	-146.988	-30.2815	140.307	-129.913
369	7.12904	1.55307	0.136325	-0.232029	0.0168755	-36.1445	160.058	-153.13	-33.0146	153.846	-154.006
370	5.5138	1.43873	0.158433	-0.404085	0.0771743	-36.1445	160.058	-153.13	-36.1639	163.379	-149.235
371	21.2213	1.55374	0.0544285	0.567042	0.0188636	-33.1793	111.327	-217.55	-31.1959	90.6136	-216.639
372	4.77902	1.43992	0.134578	0	0.0521095	-33.1793	111.327	-217.55	-31.4139	110.913	-221.714
373	9.91686	1.43661	0.14597	0.445841	0.0310958	-33.6004	113.678	-174.644	-33.85	106.232	-168.562
374	8.70837	1.47292	0.13573	-0.386133	0.0185395	-33.6004	113.678	-174.644	-26.1062	114.501	-170.612
375	29.4281	1.42275	0.154828	-0.168707	0.0762137	-28.6155	113.051	-178.954	-27.5238	91.7336	-161.863
376	8.23672	1.48054	0.112301	1.69582	0.0263419	-28.6155	113.051	-178.954	-20.7048	114.076	-178.075
377	18.9939	1.49493	0.126724	-0.868693	0.123383	-44.3182	112.135	-174.79	-56.8361	106.322	-165.024
378	15.9445	1.44004	0.194399	-0.354731	0.0781877	-44.3182	112.135	-174.79	-44.281	103.3	-162.931
379	20.6471	1.54301	0.0719692	-0.0263349	0.046691	-81.5929	130.454	-258.63	-99.6473	122.509	-258.82
380	20.2476	1.53576	0.111717	-9.13483e-05	0.0412821	-81.5929	130.454	-258.63	-92.7121	114.527	-259.528
381	39.0298	1.48382	0.0669595	-0.197174	0.0170117	-75.9607	142.917	-262.642	-109.515	144.164	-281.226
382	20.2023	1.63039	0.0853936	-0.0454464	0.0385141	-75.9607	142.917	-262.642	-85.0648	133.76	-277.191
383	10.155	1.56342	0.139248	0.159635	0.0451956	-114.813	178.898	-264.586	-122.416	184.947	-264.613
384	7.88142	1.42805	0.152806	-0.486872	0.011986	-114.813	178.898	-264.586	-118.326	177.161	-271.317
385	14.8537	1.50745	0.115019	-0.152115	0.0606279	-85.0511	148.062	-221.936	-98.9958	148.08	-220.643
386	9.73012	1.57533	0.105819	0.318669	0.0255064	-85.0511	148.062	-221.936	-88.5512	139.265	-222.554
387	8.86156	1.62903	0.118742	0.0932365	0.0423524	-78.1286	142.964	-228.057	-80.6135	135.737	-224.332
388	20.5247	1.55257	0.116573	-0.163545	0.0302737	-78.1286	142.964	-228.057	-97.3021	137.592	-228.681
389	25.6182	1.56136	0.104564	0.241444	0.0762028	-88.7944	155.756	-237.421	-110.795	161.551	-244.424
390	12.784	1.53367	0.0958294	0.620629	0.0533849	-88.7944	155.756	-237.421	-95.0211	165.877	-234.955
391	15.2741	1.5499	0.132724	0.448271	0.0718901	-46.4547	117.46	-265.047	-45.0689	103.669	-268.357
392	22.9204	1.54246	0.122057	-0.519295	0.0289968	-46.4547	117.46	-265.047	-47.9314	104.781	-283.301
393	8.88835	1.67454	0.199456	0.279155	0.10469	-54.747	135.964	-271.088	-52.1899	138.425	-278.309
394	53.3028	1.56675	0.13599	-0.193388	0.0225103	-54.747	135.964	-271.088	-74.0578	110.171	-312.067
395	40.3659	1.54655	0.135368	0.0713245	0.0181823	-40.8767	135.125	-274.719	-39.7205	117.83	-310.374
396	18.1224	1.57697	0.137011	-0.25972	0.0289202	-40.8767	135.125	-274.719	-34.8077	143.1	-289.203
397	18.0937	1.5227	0.160133	-0.0551389	0.15462	60.3961	171.436	-248.364	60.0276	187.033	-246.894
398	15.7176	1.49893	0.128047	-0.381734	0.0418665	60.3961	171.436	-248.364	61.106	186.044	-244.666
399	2.73804	1.28513	0.118915	0	0.0272288	60.0276	187.033	-246.894	61.106	186.044	-244.666
400	8.18818	1.77653	0.077584	-0.38171	0.0112553	49.9585	136.598	-270.651	50.6001	131.779	-277.126
401	10.261	1.59175	0.110937	0.39985	0.0133434	49.9585	136.598	-270.651	46.1154	144.098	-276.264
402	21.0663	1.6755	0.0776963	-0.438294	0.0281322	66.0192	132.597	-264.962	72.2846	116.407	-275.847
403	14.6325	1.71848	0.0933348	0.0739853	0.039642	66.0192	132.597	-264.962	74.5417	129.581	-275.75
404	28.1591	1.48363	0.0895648	0.415344	0.0683711	60.7794	99.4875	-210.897	56.9826	73.913	-216.018
405	5.39129	1.81528	0.0897103	0	0.0227328	60.7794	99.4875	-210.897	60.8426	94.8978	-208.305
406	22.7616	1.50495	0.100742	0.2646	0.0268259	-92.9491	232.583	-211.108	-91.2289	254.55	-213.523
407	13.1889	1.41587	0.149104	0.00534987	0.0923492	-92.9491	232.583	-211.108	-94.3444	241.268	-219.378
408	53.855	1.53523	0.0782669	0.0456082	0.0765921	-70.3998	209.766	-195.635	-79.5113	258.922	-197.375
409	8.8971	1.508	0.120125	0.530879	0.0419209	-70.3998	209.766	-195.635	-66.9179	216.955	-192.617
410	14.3425	1.5238	0.128404	0.209385	0.0276793	-80.19	212.152	-237.337	-89.6645	221.124	-242.288
411	14.1026	1.39867	0.115029	0.777551	0.0807359	-80.19	212.152	-237.337	-79.496	222.027	-245.838
412	33.4032	1.53233	0.0916323	0.00958691	0.0470592	-54.3088	218.378	-168.211	-63.2593	248.955	-169.843
413	20.6301	1.61388	0.0991017	0.579325	0.0142416	-54.3088	218.378	-168.211	-47.1046	237.393	-167.713
414	6.58058	1.50122	0.114118	-0.151848	0.0338929	-41.6057	220.009	-143.185	-42.863	225.106	-139.587
415	28.89	1.49794	0.122005	0.377466	0.152752	-41.6057	220.009	-143.185	-32.5036	242.975	-147.404
416	21.5095	1.48928	0.123602	-0.222896	0.0258245	-68.3131	141.76	-145.252	-67.8067	122.132	-137.895
417	11.4752	1.5	0.102328	0.377344	0.0382349	-68.3131	141.76	-145.252	-78.8038	141.458	-141.786
418	11.0617	1.51948	0.101294	0.437684	0.0200252	-54.6714	127.053	-144.892	-54.6906	117.7	-150.381
419	7.88522	1.46027	0.0950564	-0.0889206	0.00998959	-54.6714	127.053	-144.892	-54.2912	122.276	-138.728
420	24.6203	1.52221	0.089032	-0.180539	0.0185778	-30.2815	140.307	-129.913	-27.4589	117.003	-124.151
421	19.0817	1.44135	0.244084	-0.751367	0.0431134	-30.2815	140.307	-129.913	-21.9842	137.18	-113.913
422	3.93976	1.47001	0.12467	0	0.0310816	-36.1639	163.379	-149.235	-37.9129	162.084	-146.094
423	39.9564	1.49591	0.148144	-0.107203	0.0839656	-36.1639	163.379	-149.235	-33.6078	199.969	-145.576
424	27.6716	1.51231	0.0918875	0.343548	0.0165492	-31.4139	110.913	-221.714	-32.4746	84.4118	-227.844
425	33.1589	1.46449	0.0998685	-0.188819	0.160745	-31.4139	110.913	-221.714	-26.5685	89.9184	-240.472
426	24.9664	1.44934	0.188756	0.250051	0.10724	-33.85	106.232	-168.562	-35.3755	89.1454	-153.928
427	19.3662	1.44142	0.26085	0.207845	0.0339506	-33.85	106.232	-168.562	-33.4504	103.035	-150.111
428	3.45439	1.39202	0.0675655	0	0.00961484	-20.7048	114.076	-178.075	-18.1386	113.901	-175.818
429	2.83795	1.50874	0.126211	0	0.0325487	-20.7048	114.076	-178.075	-18.8645	113.896	-180.108
430	3.27489	1.43329	0.0755049	0	0.0150357	-44.281	103.3	-162.931	-43.5768	105.875	-161.119
