product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-A2FFE725BD,Ambu,Ambu aBox 2,505001000US2,Endoscopy platform,Display and processing unit,console_capital,Console or capital equipment,video_processor,Video processor,high,false,pair_rule,VIDEO_PROCESSOR,EBUS_TBNA|EBV|FLEX_DIAGNOSTIC|ICU_BRONCH|MED_THORACOSCOPY|PERC_TRACH|RIGID_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH|WLL
PRD-A3EBA86219,Richard Wolf,Telescope Adapter,8215.716,Rigid bronchoscopy,Rigid bronchoscope telescope adapter,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-A4793529B7,Novatech,O-Ring ID 16 x 1.25,02BRD9901,Rigid bronchoscopy,Rigid bronchoscope system,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-A4A70AE3CF,Medtronic,superDimension Biopsy Forceps,AK00113-01,Peripheral bronchoscopy,Navigation-compatible biopsy device,forceps_instrument,Forceps and hand instruments,flexible_biopsy_forceps,Flexible biopsy or grasping forceps,moderate,false,pair_rule,BIOPSY_FORCEPS_FLEX,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH
PRD-A504350406,Karl Storz,Glass Window Plug,10315M,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-A83C7ADE90,Boston Scientific,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515201,Sampling,Biopsy forceps,forceps_instrument,Forceps and hand instruments,flexible_biopsy_forceps,Flexible biopsy or grasping forceps,high,false,pair_rule,BIOPSY_FORCEPS_FLEX,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH
PRD-A85A76CB3E,Olympus,Spiration Valve Deployment System,SVS-C26N-06,Endobronchial valve,Valve delivery catheter,implant_delivery,Implant delivery device,valve_delivery_catheter,Valve delivery catheter,high,false,pair_rule,EBV_DELIVERY_CATHETER,EBV
PRD-A88AEE6442,Karl Storz,Application Cannula for Thoracic Drainage,10995,Endoscopy platform,Thoracic drainage cannula,pleural_drainage,Pleural drainage device,thoracic_drainage_cannula,Thoracic drainage cannula,high,false,pair_rule,CHEST_TUBE_SMALL_BORE,CHEST_TUBE|EBV|MED_THORACOSCOPY|WLL
PRD-A8A5497344,Richard Wolf,"Parenchyma Forceps, Curved Right",8242.602,Medical thoracoscopy,Thoracoscopy instrument,forceps_instrument,Forceps and hand instruments,thoracoscopy_hand_instrument,Thoracoscopy hand instrument,high,false,pair_rule,THORACOSCOPY_BIOPSY_FORCEPS,MED_THORACOSCOPY
PRD-A93BE6938D,ERBE,"CO2 Gas Bottle Adapter H, Pin Index",20410-011,Therapeutic bronchoscopy,CO2 gas bottle adapter,cryotherapy,Cryotherapy device,cryotherapy_accessory,Cryotherapy system accessory,moderate,false,pair_rule,CRYO_SYSTEM_ACCESSORY,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-AACBA3F0AD,Olympus,UCR CO2 Regulation Unit,UCR,Endoscopy platform,CO2 insufflator,console_capital,Console or capital equipment,co2_insufflator,CO2 insufflator,high,false,pair_rule,CO2_INSUFFLATOR,MED_THORACOSCOPY
PRD-AC9CC6E8A4,Richard Wolf,TEXAS Proximal Illumination Head System,825101200,Rigid bronchoscopy,Rigid bronchoscope head,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,high,false,pair_rule,RIGID_BRONCHOSCOPE_HEAD,RIGID_BRONCH
PRD-AD33CCF9E8,Ambu,Ambu aCart Compact KU,KU.9713.800,Endoscopy platform,Endoscopy cart,console_capital,Console or capital equipment,endoscopy_workstation,Endoscopy workstation or cart,high,false,pair_rule,ENDOSCOPY_CART,
PRD-AD5DB57EBC,Richard Wolf,PANOVIEW Telescope,8933.432,Medical thoracoscopy,Thoracoscopy telescope,endoscopic_telescope,Endoscopic telescope,thoracoscopy_telescope,Thoracoscopy telescope,high,false,pair_rule,THORACOSCOPE_RIGID,MED_THORACOSCOPY
PRD-AE6E72214D,Medtronic,superDimension Triple-Needle Cytology Brush – 10 mm,SDTN81000,Peripheral bronchoscopy,Navigation-compatible cytology brush,cytology_brush,Cytology brush,navigation_cytology_brush,Navigation-compatible cytology brush,high,false,pair_rule,CYTOLOGY_BRUSH,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT
PRD-AEB8017EDB,Richard Wolf,Jet Ventilation Respiration Adapter,8238.5021,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-AF93E56FE5,Karl Storz,FLUVOG Adapter,10314P,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-B05D337994,Karl Storz,Glass Window Plug,10314BM,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-B077E82907,Richard Wolf,TEXAS Bronchoscope Tube ID 11 mm,82520.0841,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-B091070F8D,Olympus,Covered-Sheath Pulmonary Cytology Brush,BC-202D-3010,Sampling,Pulmonary cytology brush,cytology_brush,Cytology brush,pulmonary_cytology_brush,Pulmonary cytology brush,high,false,pair_rule,CYTOLOGY_BRUSH,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT
