Category,Image_url,Image Description,article_title,article_url,license,license_url,attribution
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/726a/5183797/f55a50ab4eab/CRJ2016-1652178.005.jpg,CT – IASLC stations 4L/5/5,Role of the Endobronchial Landmarks Guiding TBNA and EBUS-TBNA in Lung Cancer Staging,https://pmc.ncbi.nlm.nih.gov/articles/PMC5183797/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a190/6824649/b0995170201e/medi-98-e17650-g001.jpg,"CT – Intrathoracic goiter (diffuse tracheal narrowing, severe obstruction)",Extracorporeal membrane oxygenation for the anesthetic management of a patient with a massive intrathoracic goiter causing severe tracheal obstruction with positional symptoms,https://pmc.ncbi.nlm.nih.gov/articles/PMC6824649/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/5d66/6837853/b796c0a971fd/RCR2-8-e00498-g001.jpg,CT – Large left-sided pleural effusion,Intrapleural urokinase directly under medical thoracoscopy for the diagnosis of tuberculous pleurisy,https://pmc.ncbi.nlm.nih.gov/articles/PMC6837853/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/9c54/12320088/5fc16a7a6746/gr2.jpg,"CT – Large tracheal lesion (95% obstruction, inferior third)",Tracheal schwannoma: A pseudo-asthmatic syndrome with successful laser Nd-YAG resection as first-line therapy,https://pmc.ncbi.nlm.nih.gov/articles/PMC12320088/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/5cbbf8eb8b8d/13244_2017_581_Fig15_HTML.jpg,CT – Lipoid pneumonia (RML with fat component),"Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/4a64/9138273/75b45d7a8f66/cureus-0014-00000024571-i01.jpg,CT – LLL mass with left adrenal enlargement (heterogeneous enhancement),Left Adrenal Gland Sampling Through Transesophageal Bronchoscopic Ultrasound-Guided Fine Needle Aspiration (EUS-B FNA): A New Route and a New Challenge,https://pmc.ncbi.nlm.nih.gov/articles/PMC9138273/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/031d/5696549/b135cdcb86d4/jtd-09-S10-S1087-f3.jpg,CT – LMS obstruction: SCC vs ACC,Malignant central airway obstruction,https://pmc.ncbi.nlm.nih.gov/articles/PMC5696549/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/91df/6264615/d7945a191187/12890_2018_745_Fig1_HTML.jpg,CT – Loculated empyema,Role of medical Thoracoscopy in the Management of Multiloculated Empyema,https://pmc.ncbi.nlm.nih.gov/articles/PMC6264615/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/64e6/9575123/1fd4a90f21c3/TCA-13-2879-g004.jpg,CT – LUL pulmonary nodule (oblique fissure measurement),Virtual navigation bronchoscopyâ€guided intraoperative indocyanine green localization in simultaneous surgery for multiple pulmonary nodules,https://pmc.ncbi.nlm.nih.gov/articles/PMC9575123/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f8ea/5825309/be4b01b55acf/13244_2017_581_Fig9_HTML.jpg,"CT – Lung nodule with notch sign (lingula, large cell neuroendocrine carcinoma)","Evaluation of the solitary pulmonary nodule: size matters, but do not ignore the power of morphology",https://pmc.ncbi.nlm.nih.gov/articles/PMC5825309/
