product_id,manufacturer,product_name,catalog_number,prior_visibility_state,verification_grade,market_status,market_confidence,safety_display,safety_action_scope,safety_reference_codes,status_recommendation_gate,role_count,authored_option_count
"PRD-2110EC2BCF","Karl Storz","GRONINGEN Optical Intubation Tracheoscope","10337T","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-212BC58910","Karl Storz","Foreign Body Basket, 35 cm","10386B","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2158C0F6D1","Karl Storz","TONN Stent Applicator 14-18 mm, max 16 cm","10530","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-21F6CB5BAC","ERBE","FiAPC plus Probe 2200 A with Filter","20132-321","hidden","verified_source","current_status_unverified","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2218769436","ERBE","APCapplicator, Rigid, 350 mm, Spatula Electrode","20132-254","hidden","verified_source","current_status_conflicted","moderate","no_exact_action_found_as_of_snapshot","","","review_required","1","1"
"PRD-225513EE42","Olympus","TC-C3 Series Workstation Set","K10034675","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-2274F20402","Karl Storz","Optical Large Blunt Serrated Foreign Body Forceps","10350MS","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-23EF6EF461","Olympus","OER-Pro Connector Hanger","MAJ-865","hidden","verified_source","confirmed_current_us","high","safety_identity_review_required","family_level","","review_required","2","3"
"PRD-241DE5F6DF","ERBE","Monopolar Connecting Cable, 3-Pin to 4 mm Socket, 4.5 m","20192-133","hidden","verified_source","current_status_unverified","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-247C9B978C","Karl Storz","Flexible Trocar with Blunt Tip, No Valve","40120NAL","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-24AE19F5D2","Richard Wolf","Thoracoscopy Scissors, Curved","8243.404","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-24DF8E0987","ERBE","Monopolar Connecting Cable, Martin Standard, 4 m, for Pencil/Hook","20192-099","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-2522C4A9A6","Karl Storz","Suction Tube with Cut-Off Hole","10383A","hidden","verified_source","likely_current_us","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-25415AA480","Olympus","PeriView FLEX Needle","NA-403D-2021","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-25D4F080A3","Richard Wolf","Blue Sealing Cap","8205.13","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2616E505ED","Richard Wolf","Cleaning Brush","7980002","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-2644647C19","Karl Storz","Suction Tube with Rubber Tip, Straight","10381A","hidden","verified_source","likely_current_us","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2644946D4C","Micro-Tech Endoscopy","Micro-Tech Fully covered Straight Tracheal Stent","ST02-334-14.050","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-27460DB568","ERBE","Monopolar Adapter, Bovie Jack to 2-7 mm Instrument Connector","20183-067","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-277D52B6BC","Karl Storz","Suction Tube","10380A","hidden","verified_source","likely_current_us","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-27BD1F9DB6","ERBE","Monopolar Connecting Cable, VIO/ICC/ACC, Standard, 5 m, for Pencil/Hook","20192-094","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-27BE0EC96A","ERBE","Return-Electrode Connecting Cable, International, 5 m, Silicone","20194-089","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-28C10C5EE9","Karl Storz","Suction Catheter 5 Fr with Adapter","10468D","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-293EEBCDF0","ERBE","Pressure Reducer with Sensor for APC 2/APC 3, ISO 5145 No. 4","20134-007","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-2A9D06CF51","Verathon","GlideScope Video Monitor","GlideScope Video Monitor","hidden","verified_source","current_status_unverified","low","safety_identity_review_required","family_level","","review_required","1","10"
"PRD-2ACB51E58C","Richard Wolf","PANOVIEW PLUS Telescope","8934.4424","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2B5C4C6CB3","Verathon","BFlex 2 Ultraslim 2.8 Single-Use Bronchoscope","BFlex 2 Ultraslim 2.8","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","4"
"PRD-2B8AACAB67","Olympus","EVIS EUS Endoscopic Ultrasound Center EU-ME3","EU-ME3","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2BC12F8AEF","Karl Storz","Deflecting Device","10357","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2BD5C6261D","Richard Wolf","Lung Grasping Forceps, Angled","8242.611","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2C2F29762E","Olympus","OFP-2 Irrigation Tubing","MAJ-1651","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-2C4537F4D4","Olympus","Peripheral Biopsy Forceps","FB-433D","hidden","verified_source","current_status_conflicted","moderate","no_exact_action_found_as_of_snapshot","","","review_required","1","4"
"PRD-2D687D6E32","Verathon","BFlex 2 Regular 5.0 Single-Use Bronchoscope","BFlex 2 Regular 5.0","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","3","8"
"PRD-2DACCAD2B4","Karl Storz","Optical Spoon Biopsy Forceps","10352L","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2DBF0805A2","Richard Wolf","Endoscope-Side Light Cable Adapter","8095.00","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2E043ED827","Olympus","Radial Ultrasound Miniature Probe","UM-S20-20R","hidden","verified_source","confirmed_current_us","high","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2EB4F34219","Richard Wolf","Telescope Adapter","8215.714","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2EB7F5EEC1","Richard Wolf","TEXAS Tracheoscope Tube ID 17 mm","825211430","hidden","verified_source","current_status_conflicted","moderate","no_exact_action_found_as_of_snapshot","","","review_required","1","1"
"PRD-2F1A67DE53","Karl Storz","Angled Aspiration Biopsy Needle 1.6 mm x 47 cm","10438","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-2FACCCFC02","Karl Storz","Universal Forceps","10372UL","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-2FAFEA973E","Verathon","GlideScope Core 15","GlideScope Core 15","hidden","verified_source","current_status_unverified","low","active_safety_notice","unknown","Z-2021-2024","blocked_active_safety_action","1","10"
"PRD-2FBD344316","Richard Wolf","PANOVIEW Telescope","8934.432","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-302A6FF548","Olympus","Spiration Airway Sizing Kit – HUD","REF-HUS-VSK","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-3097FD9A2E","ERBE","Gas Hose for ERBECRYO / ERBECRYO 2, 1 m","20410-004","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-3236D0CEDC","Richard Wolf","Trocar Sleeve with Stopcock","8919.353","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
